image,class,stability,std,raw_scores
ba2ea9182090.png,No_DR,0.2680311890838207,0.20939746809346818,"[0.05263157894736842, 0.1111111111111111, 0.3333333333333333, 0.6666666666666666, 0.1111111111111111, 0.3333333333333333]"
226c6ceb9185.png,No_DR,0.2423747276688453,0.07982973346587623,"[0.25, 0.1111111111111111, 0.3333333333333333, 0.17647058823529413, 0.3333333333333333, 0.25]"
07a1c7073982.png,Mild,0.36601307189542487,0.3670037945455283,"[0.17647058823529413, 0.1111111111111111, 0.17647058823529413, 1.0]"
587146a55885.png,Mild,0.2753477459359812,0.18795321434756598,"[0.5384615384615384, 0.17647058823529413, 0.1111111111111111]"
3ddb86eb530e.png,Moderate,0.14583333333333331,0.14877975892797604,"[0.25, 0.3333333333333333, 0.0, 0.0]"
37de05ef12a5.png,Moderate,0.1128310973512212,0.04381747231804953,"[0.1111111111111111, 0.1111111111111111, 0.17647058823529413, 0.05263157894736842]"
3218a6d8eb2c.png,Severe,0.11340442609792456,0.05058306386908103,"[0.1111111111111111, 0.17647058823529413, 0.1111111111111111, 0.05263157894736842, 0.05263157894736842, 0.17647058823529413]"
f9156aeffc5e.png,Severe,0.09624756335282651,0.07868710559502892,"[0.05263157894736842, 0.1111111111111111, 0.1111111111111111, 0.25, 0.05263157894736842, 0.0]"
2df07eb5779f.png,Proliferate_DR,0.22254901960784315,0.062283843820661135,"[0.3333333333333333, 0.25, 0.17647058823529413, 0.17647058823529413, 0.17647058823529413]"
f0f89314e860.png,Proliferate_DR,0.03508771929824561,0.024810764252159563,"[0.05263157894736842, 0.0, 0.05263157894736842]"
